"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","display","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","XMAS","REPUBLIC","substitute_avg_price","sum_rows","weekly_qty","yhat"
"1",2016-01-03,-22172.5587213004,-2.52808659106788,-8.04162256162191,0,0,0,0,0,1.08704263947195,0,0,0,0,0,0,0,0,0,-0.913812174177352,-22182.9551999878,7,5.5448991083851
"2",2016-01-10,-19535.8084384909,-2.22744771949003,-7.49420438726725,0,0,0,0,0,0.61327297890829,0,0,0,0,0,0,0,0,0,-0.856276717655716,-19545.7730943364,3,4.88550230732311
"3",2016-01-17,-18861.2267027989,-2.15053277872843,-7.53260279995043,0,0,0,0,0,0.630103567763634,0,0,0,0,0,0,0,0,0,-0.937781338153656,-18871.217516148,8,4.71680334425856
"4",2016-01-24,-18893.9231124089,-2.15426078124496,-7.58792419020691,0,0,0,0,0,0.503539671412709,0,0,0,0,0,0,0,0,0,-0.739788062735919,-18903.9015457717,3,4.72498004117354
"5",2016-01-31,-17183.4001525811,-1.95922915621649,-6.62025156593776,0,0,0,0,0,0.064108494859644,0,0,0,0,0,0,0,0,0,-0.786557155634437,-17192.702081964,9,4.29721356847908
"6",2016-02-07,-33946.8577442355,5.03730998200639,-11.7496704414366,0,0,0,0,0,0.652954350029796,0,0,-8.8536162812649,0,0,0,0,0,0,-1.64328387006793,-33963.4140504962,9,8.48940817361144
"7",2016-02-14,-21012.9190493684,-2.39586596908503,-6.57566323689947,0,0,0,0,0,0.535891489979003,0,0,0,0,0,0,0,0,0,-1.03821637767283,-21022.3929034621,4,5.25489717113613
"8",2016-02-21,-24071.5585835908,-2.74460810979022,-6.73185827802748,0,0,0,0,0,0.926433167561946,0,0,0,0,0,0,0,0,0,-1.07900838282573,-24081.1876251939,10,6.01979976263941
"9",2016-02-28,-21331.1969100217,-2.43215560087112,-5.41018730925651,0,0,0,0,0,0.0403284029733681,0,0,0,0,0,0,0,0,0,-1.03035935220482,-21340.0292838811,3,5.33449189215766
"10",2016-03-06,-25333.3022889134,-2.88847050216832,-5.62436721683016,0,0,0,0,0,0.620842162967519,0,0,0,0,0,0,0,0,0,-1.136616156505,-25342.3309006259,7,6.33533581035466
"11",2016-03-13,-25109.565515218,-2.86296032336497,-4.72970917777766,0,0,0,0,0,0.107266424883592,0,0,0,0,0,0,0,0,0,-1.10375919642499,-25118.1546774907,7,6.27938386305934
"12",2016-03-20,-54381.3448937726,3.13557491082281,-8.63881230805858,0,0,0,0,0,1.36609831199325,0,0,0,0,0,0,0,0,0,-2.76694996969901,-54388.2489828275,21,13.5996514702917
"13",2016-03-27,-28904.5861554314,-3.2956636894466,-3.68924223210415,0,0,0,0,0,0.16050652752675,0,0,0,0,0,0,0,0,0,-1.38663761647683,-28912.7971924419,6,7.22844016408098
"14",2016-04-03,-37111.1240502783,-4.23136257164743,-3.36233281438261,0,0,0,0,0,1.36408807257729,0,0,0,0,0,0,0,0,0,-1.66800808445995,-37119.0216656762,5,9.2807258397234
"15",2016-04-10,-36253.1242922535,-4.13353454418941,-2.41733481619209,0,0,0,0,0,0.493520906617126,0,0,0,0,0,0,0,0,0,-1.55693717120083,-36260.7385778785,13,9.06615781656171
"16",2016-04-17,-137279.235118458,20.3706059215992,-5.38149479529214,0,0,-2.93217276835041,0,0,3.00864704237754,0,0,0,0,0,0,0,0,0,-5.43652294658735,-137269.606056004,24,34.3307021068736
