"","year","week_counter","adstock_grp","reach"
"1",2016,1,0,0
"2",2016,2,0,0
"3",2016,3,0,0
"4",2016,4,0,0
"5",2016,5,0,0
"6",2016,6,0,0
"7",2016,7,0,0
"8",2016,8,0,0
"9",2016,9,0,0
"10",2016,10,0,0
"11",2016,11,0,0
"12",2016,12,0,0
"13",2016,13,0,0
"14",2016,14,0,0
"15",2016,15,0,0
"16",2016,16,0,0
"17",2016,17,0,0
"18",2016,18,0,0
"19",2016,19,0,0
"20",2016,20,0,0
"21",2016,21,0,0
"22",2016,22,0,0
"23",2016,23,41.4979783976644,0.535736428809084
"24",2016,24,38.0538139754783,0.506194809912152
"25",2016,25,34.8955012748721,0.477256972274267
"26",2016,26,31.9993157587114,0.449065342002492
"27",2016,27,29.3435019305213,0.421738225446744
"28",2016,28,26.9081099120722,0.395370797782317
"29",2016,29,24.6748455843659,0.370036556615148
"30",2016,30,22.6269331663144,0.345789092692387
"31",2016,31,20.7489891988322,0.322664051220265
"32",2016,32,19.0269069877392,0.300681179555485
"33",2016,33,17.447750637436,0.279846378552315
"34",2016,34,15.9996578793557,0.260153694582893
"35",2016,35,14.6717509652607,0.241587206619196
"36",2016,36,13.4540549560361,0.224122777525842
"37",2016,37,12.3374227921829,0.20772965085785
"38",2016,38,11.3134665831572,0.192371884139565
"39",2016,39,10.3744945994161,0.178009617067189
"40",2016,40,34.4122405324682,0.472665657061331
"41",2016,41,31.556163704005,0.444605804202449
"42",2016,42,28.9371297046011,0.417427312560093
"43",2016,43,26.5354649378572,0.391221760111861
"44",2016,44,24.3331286363308,0.366059314428428
"45",2016,45,22.3135773433347,0.341990542023309
"46",2016,46,20.4616406421981,0.319048390033303
"47",2016,47,18.7634071994967,0.297250239542617
"48",2016,48,17.2061202662341,0.276599951149589
"49",2016,49,15.7780818520025,0.257089842759053
"50",2016,50,14.4685648523005,0.238702556543388
"51",2016,51,13.2677324689286,0.221412786350369
"52",2016,52,12.1665643181654,0.205188848570999
"53",2017,1,11.1567886716674,0.189994088787556
"54",2017,2,10.2308203210991,0.175788123658412
"55",2017,3,9.38170359974835,0.162527922758836
"56",2017,4,8.60306013311705,0.150168738790556
"57",2017,5,7.88904092600125,0.138664896988365
"58",2017,6,7.23428242615027,0.127970455954422
"59",2017,7,6.6338662344643,0.118039752772316
"60",2017,8,6.08328215908271,0.108827845291137
"61",2017,9,22.1775856948994,0.340334606941618
"62",2017,10,20.3369357507409,0.317472770935268
"63",2017,11,18.649052309823,0.295755628496474
"64",2017,12,17.1012563700431,0.275186162057131
"65",2017,13,15.6819212352092,0.255755947125877
"66",2017,14,14.380385177904,0.237447010192866
"67",2017,15,13.1868713509785,0.220233545527676
"68",2017,16,12.0924143460671,0.204083474617168
"69",2017,17,11.0887928474497,0.188959841134869
"70",2017,18,10.1684678753704,0.174822041327609
"71",2017,19,34.2233131935101,0.47085861507088
"72",2017,20,31.3829165703086,0.442851604941385
"73",2017,21,28.7782613825278,0.415732442790118
"74",2017,22,26.3897820441789,0.38959129734176
"75",2017,23,40.7987281928678,0.52990225065372
"76",2017,24,37.4125987104682,0.500466665429168
"77",2017,25,34.3075042842932,0.471664724924471
"78",2017,26,31.4601201409584,0.443634074030806
"79",2017,27,28.8490573689636,0.416488387460003
"80",2017,28,26.4547022499831,0.390318462128947
"81",2017,29,24.2590689250103,0.365193743975664
"82",2017,30,22.2456642886152,0.341164145327327
"83",2017,31,20.3993640964339,0.318262030681259
"84",2017,32,18.7062993552341,0.296504270983895
"85",2017,33,17.1537521421466,0.275894287725024
"86",2017,34,15.7300600704792,0.256424027470145
"87",2017,35,14.4245286844818,0.238075824323266
"88",2017,36,13.2273511249916,0.220824122054562
"89",2017,37,12.1295344625051,0.204637039273403
"90",2017,38,11.1228321443076,0.189477770253203
"91",2017,39,10.1996820482169,0.175305821079825
"92",2017,40,34.2519367162157,0.471132830859387
"93",2017,41,31.4091644563603,0.443117766539177
"94",2017,42,28.8023308001629,0.415989571075138
"95",2017,43,26.4118537974678,0.389838626800316
"96",2017,44,24.2197767208086,0.364733996817929
"97",2017,45,22.2096331784959,0.34072524657174
"98",2017,46,20.3663234227733,0.317844431757292
"99",2017,47,18.6760009238971,0.29610815306901
"100",2017,48,17.1259683581078,0.27551959948151
"101",2017,49,15.7045822281802,0.256070521026969
"102",2017,50,14.4011654000814,0.237743088851629
"103",2017,51,13.2059268987339,0.220511614527209
"104",2017,52,12.1098883604043,0.204344112191846
"105",2017,53,11.1048165892479,0.189203696278138
