"","year","week_counter","adstock_grp","reach"
"1",2016,1,0,0
"2",2016,2,0,0
"3",2016,3,0,0
"4",2016,4,0,0
"5",2016,5,0,0
"6",2016,6,0,0
"7",2016,7,0,0
"8",2016,8,0,0
"9",2016,9,0,0
"10",2016,10,0,0
"11",2016,11,0,0
"12",2016,12,0,0
"13",2016,13,0,0
"14",2016,14,0,0
"15",2016,15,0,0
"16",2016,16,0,0
"17",2016,17,0,0
"18",2016,18,0,0
"19",2016,19,0,0
"20",2016,20,0,0
"21",2016,21,0,0
"22",2016,22,0,0
"23",2016,23,31.8207169492571,0.493787330243005
"24",2016,24,26.7579268134334,0.438977617910447
"25",2016,25,22.5006447370374,0.387203723277589
"26",2016,26,18.9207115002721,0.339192911388731
"27",2016,27,15.9103584746286,0.295358450996547
"28",2016,28,13.3789634067167,0.255857047014719
"29",2016,29,11.2503223685187,0.220649833259629
"30",2016,30,9.46035575013606,0.189559024443169
"31",2016,31,7.95517923731428,0.162316196393666
"32",2016,32,6.68948170335835,0.138600855210125
"33",2016,33,5.62516118425935,0.118069600241598
"34",2016,34,4.73017787506803,0.100377040098805
"35",2016,35,3.97758961865714,0.085189946523915
"36",2016,36,3.34474085167918,0.0721961401932899
"37",2016,37,2.81258059212968,0.0611094470775336
"38",2016,38,2.36508893753401,0.051671841849467
"39",2016,39,1.98879480932857,0.0436536634465723
"40",2016,40,49.4034458497252,0.638271261787645
"41",2016,41,41.543180516215,0.581438595114474
"42",2016,42,34.9335115743231,0.524200042470333
"43",2016,43,29.3754646550724,0.46818029700581
"44",2016,44,24.7017229248626,0.414659022551032
"45",2016,45,20.7715902581075,0.364551342893669
"46",2016,46,17.4667557871616,0.31843318373836
"47",2016,47,14.6877323275362,0.276591841010425
"48",2016,48,12.3508614624313,0.239086329613261
"49",2016,49,10.3857951290537,0.205807093528249
"50",2016,50,8.73337789358077,0.176529105882292
"51",2016,51,7.34386616376811,0.150955713531825
"52",2016,52,6.17543073121565,0.128752761205549
"53",2017,1,5.19289756452687,0.109573775849652
"54",2017,2,4.36668894679039,0.0930775720641186
"55",2017,3,3.67193308188405,0.0789397964696147
"56",2017,4,3.08771536560782,0.0668598467754624
"57",2017,5,2.59644878226343,0.0565644056981509
"58",2017,6,2.18334447339519,0.047808598293615
"59",2017,7,1.83596654094203,0.0403755568986263
"60",2017,8,1.54385768280391,0.0340749813626564
"61",2017,9,49.0292998150174,0.635811657340429
"62",2017,10,41.2285624568477,0.578923086000721
"63",2017,11,34.6689503760271,0.521706252383048
"64",2017,12,29.1529960918101,0.465771948217338
"65",2017,13,24.5146499075087,0.412383851381423
"66",2017,14,20.6142812284239,0.362441424029575
"67",2017,15,17.3344751880136,0.316506749948848
"68",2017,16,14.5764980459051,0.274855819346932
"69",2017,17,12.2573249537543,0.23753903227683
"70",2017,18,10.3071406142119,0.204440715414292
"71",2017,19,24.5775960686353,0.41315058705133
"72",2017,20,20.6672124296692,0.363152294114896
"73",2017,21,17.3789848453959,0.317155665960141
"74",2017,22,14.613926057242,0.275440493351475
"75",2017,23,44.1095149835748,0.601235126214849
"76",2017,24,37.091533028268,0.543937442895761
"77",2017,25,31.1901371597353,0.487332850614363
"78",2017,26,26.2276745288931,0.432825476381065
"79",2017,27,22.0547574917874,0.38145551164183
"80",2017,28,18.545766514134,0.333911401462797
"81",2017,29,15.5950685798677,0.290573684152814
"82",2017,30,13.1138372644466,0.251573387917305
"83",2017,31,11.0273787458937,0.216852841971546
"84",2017,32,9.272883257067,0.186221505869305
"85",2017,33,7.79753428993383,0.15940315672934
"86",2017,34,6.55691863222328,0.136073334099126
"87",2017,35,5.51368937294684,0.115887481144697
"88",2017,36,4.6364416285335,0.0985010014244399
"89",2017,37,3.89876714496691,0.0835827298840412
"90",2017,38,3.27845931611164,0.0708233003088024
"91",2017,39,2.75684468647342,0.0599397242044039
"92",2017,40,65.9596547127809,0.726980657344544
"93",2017,41,55.4652371993503,0.675075715251957
"94",2017,42,46.6405191321306,0.619553833987037
"95",2017,43,39.2198453437809,0.562387553468672
"96",2017,44,32.9798273563905,0.50538954855464
"97",2017,45,27.7326185996751,0.450075721622806
"98",2017,46,23.3202595660653,0.397604190491534
"99",2017,47,19.6099226718905,0.348773003311526
"100",2017,48,16.4899136781952,0.30405586981595
"101",2017,49,13.8663092998376,0.263657442457701
"102",2017,50,11.6601297830326,0.227574369496805
"103",2017,51,9.80496133594523,0.195653283517537
"104",2017,52,8.24495683909761,0.167640991612962
"105",2017,53,6.93315464991878,0.143225065301401
