"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","display","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","XMAS","REPUBLIC","substitute_avg_price","sum_rows","weekly_qty","yhat"
"1",2016-01-03,-300.498496168094,-8.61993591040111,-21.7410825086987,0,0,0,0,0,7.69391582515185,0,0,0,0,0,0,0,0,0,-65.0523819130245,-388.217980675066,78,84.8888687454497
"2",2016-01-10,-314.596084768676,-9.02433164541416,-23.7190861356174,0,0,0,0,0,5.04169627999364,0,0,0,0,0,0,0,0,0,-54.4504140702261,-396.74822033994,83,88.8713457415166
"3",2016-01-17,-322.000109758241,-9.23671946666089,-24.9996780123541,0,0,0,0,0,5.50549324896993,0,0,0,0,0,0,0,0,0,-52.041268754344,-402.77228274263,100,90.9629345965091
"4",2016-01-24,-311.706637620805,-8.94144654100018,-24.2987530226587,0,0,0,0,0,4.21605647464709,0,0,0,0,0,0,0,0,0,-52.9265235003004,-393.657304210117,112,88.0550957342442
"5",2016-01-31,-305.231054831383,-8.7556915061527,-23.0855871765135,0,0,0,0,0,0.562463265947315,0,0,0,0,0,0,0,0,0,-49.7625978994601,-386.272468147562,92,86.2257857560869
"6",2016-02-07,-377.188898920061,20.3306123454354,-26.3596774981112,0,0,0,-8.05340642591173,0,3.64904991707122,0,0,0.688599803713018,0,0,0,0,0,0,-74.5558170642765,-461.489537842141,115,106.55340822323
"7",2016-02-14,-306.424504925817,-8.78992616442045,-19.8523673654942,0,0,0,0,0,3.96050941206897,0,0,0,0,0,0,0,0,0,-59.4377298807557,-390.544018924418,65,86.5629276377023
"8",2016-02-21,-309.268844666187,-8.87151734235327,-18.3847807991786,0,0,0,0,0,6.13118715673858,0,0,0,0,0,0,0,0,0,-64.8098943627583,-395.203850013739,84,87.3664350960313
"9",2016-02-28,-304.230858732856,-8.72700042657301,-16.7600697519822,0,0,0,0,0,0.283496732529443,0,0,0,0,0,0,0,0,0,-57.8538169648289,-387.288249143711,69,85.9432368701183
"10",2016-03-06,-325.08946125593,-9.32533891818679,-16.1141578843293,0,0,0,0,0,4.03274265565943,0,0,0,0,0,0,0,0,0,-60.5624587293538,-407.05867413214,77,91.8356562811099
"11",2016-03-13,-321.440587458898,-9.22066931525487,-13.9437532041895,0,0,0,0,0,0.678660911932781,0,0,0,0,0,0,0,0,0,-58.786521283924,-402.712870350334,95,90.8048731897641
"12",2016-03-20,-439.818284531274,23.7063579305785,-16.5606131348232,0,0,-5.03311023844945,0,0,5.59679244804683,0,0,0,0,0,0,0,0,0,-82.799643307197,-514.908500833118,126,124.245801904244
"13",2016-03-27,-338.247768980816,-9.70279095446723,-10.5699511357605,0,0,0,0,0,0.929663915293418,0,0,0,0,0,0,0,0,0,-60.1759399478358,-417.766787103586,93,95.5527925450641
"14",2016-04-03,-366.044274085905,-10.5001463342591,-8.46255583131847,0,0,0,0,0,6.91530209736536,0,0,0,0,0,0,0,0,0,-66.2573272783668,-444.349001432484,90,103.405124265647
