"prod_id","tran_wk","weekly_sales","weekly_paid","weekly_qty","shelf_price","discount_majority","seas_index","holiday_index","year","week","tv_reach","radio_reach","flyer","email","paid_search","web"
138936951,2016-09-04,196.5,196.5,262,0.75,0,9897.285714,0,2016,36,0.224122777525842,0.0721961401932899,0,0,18891,0
138936951,2016-10-23,170.25,170.25,227,0.75,0,7119.765306,0,2016,43,0.391221760111861,0.46818029700581,0,0,2643,0
138936951,2017-02-05,136.5,136.5,182,0.75,0,5327.520408,0,2017,6,0.127970455954422,0.047808598293615,0,0,10558,0
138936951,2017-03-26,158.25,158.25,211,0.75,0,6636.459184,0,2017,13,0.255755947125877,0.412383851381423,0,0,8125,3e+05
138936951,2017-06-04,206.98,154.58,262,0.79,0.2,9522.030612,1,2017,23,0.52990225065372,0.601235126214849,1,0,32108,0
138936951,2017-06-18,217.25,217.25,275,0.79,0,10402.4898,0,2017,25,0.471664724924471,0.487332850614363,0,0,6873,0
138936951,2017-06-25,195.92,195.92,248,0.79,0,10771.52041,0,2017,26,0.443634074030806,0.432825476381065,0,0,43939,0
138936951,2017-08-27,183.28,183.28,232,0.79,0,10835.37755,0,2017,35,0.238075824323266,0.115887481144697,0,0,15746,0
138936951,2017-12-03,164.32,164.32,208,0.79,0,6553.765306,1,2017,49,0.256070521026969,0.263657442457701,0,0,43517,0
138936951,2016-02-07,163.53,139.83,237,0.69,0.1,5516.459184,1,2016,6,0,0,0,0,17507,0
138936951,2017-09-10,142.2,142.2,180,0.79,0,9897.285714,0,2017,37,0.204637039273403,0.0835827298840412,0,0,8252,0
138936951,2017-11-12,158.79,158.79,201,0.79,0,6772.306122,0,2017,46,0.317844431757292,0.397604190491534,0,0,11260,0
138936951,2016-02-28,141.45,141.45,205,0.69,0,6017.255102,0,2016,9,0,0,0,0,1660,0
138936951,2016-03-06,139.38,139.38,202,0.69,0,6209.806122,0,2016,10,0,0,0,0,22561,0
138936951,2016-05-08,166.29,166.29,241,0.69,0,8516.928571,0,2016,19,0,0,0,0,34262,0
138936951,2016-09-11,123,123,164,0.75,0,9453.704082,0,2016,37,0.20772965085785,0.0611094470775336,0,0,17587,0
138936951,2016-09-25,138.75,138.75,185,0.75,0,8594.27551,0,2016,39,0.178009617067189,0.0436536634465723,0,0,16211,0
138936951,2017-01-22,159,159,212,0.75,0,5262.316327,0,2017,4,0.150168738790556,0.0668598467754624,0,0,43794,0
138936951,2017-02-26,205.5,150.7,274,0.75,0.2,5867.561224,1,2017,9,0.340334606941618,0.635811657340429,1,0,21665,0
138936951,2017-07-16,175.38,175.38,222,0.79,0,11776.19388,0,2017,29,0.365193743975664,0.290573684152814,0,0,20404,0
138936951,2017-08-20,199.87,199.87,253,0.79,0,11259.60204,0,2017,34,0.256424027470145,0.136073334099126,0,0,47023,0
138936951,2017-11-19,118.5,118.5,150,0.79,0,6712.010204,0,2017,47,0.29610815306901,0.348773003311526,0,0,42447,0
138936951,2017-12-24,152.47,133.17,193,0.79,0.1,6241.306122,1,2017,52,0.204344112191846,0.167640991612962,0,2e+05,15925,0
138936951,2016-03-13,128.34,128.34,186,0.69,0,6429.489796,0,2016,11,0,0,0,0,3769,0
138936951,2016-09-18,153.75,153.75,205,0.75,0,9003.265306,0,2016,38,0.192371884139565,0.051671841849467,0,0,42687,0
138936951,2016-11-20,158.25,158.25,211,0.75,0,6632.091837,0,2016,47,0.297250239542617,0.276591841010425,0,0,41354,0
138936951,2017-01-01,213,184.6,284,0.75,0.1,5601.346939,1,2017,1,0.189994088787556,0.109573775849652,0,2e+05,3894,0
138936951,2017-05-21,157.21,157.21,199,0.79,0,8811.969388,0,2017,21,0.415732442790118,0.317155665960141,0,0,48031,0
138936951,2017-07-09,225.94,211.64,286,0.79,0.05,11497.30612,0,2017,28,0.390318462128947,0.333911401462797,0,0,26341,0
138936951,2017-10-08,192.76,192.76,244,0.79,0,8154.459184,0,2017,41,0.443117766539177,0.675075715251957,0,0,45449,0
138936951,2016-03-20,162.15,150.4,235,0.69,0.05,6636.459184,1,2016,12,0,0,0,0,23157,0
138936951,2016-06-19,106.26,106.26,154,0.69,0,10771.52041,0,2016,25,0.477256972274267,0.387203723277589,0,0,5543,0
138936951,2016-07-17,178.71,178.71,259,0.69,0,11892.13265,0,2016,29,0.370036556615148,0.220649833259629,0,0,29209,4e+05
138936951,2016-10-02,177,129.8,236,0.75,0.2,8154.459184,1,2016,40,0.472665657061331,0.638271261787645,0,0,7044,0
138936951,2017-07-30,152.47,152.47,193,0.79,0,11859.92857,0,2017,31,0.318262030681259,0.216852841971546,0,0,28960,0
138936951,2017-08-06,150.89,150.89,191,0.79,0,11748.41837,1,2017,32,0.296504270983895,0.186221505869305,0,0,18607,0
138936951,2017-09-24,190.39,190.39,241,0.79,0,9003.265306,0,2017,39,0.175305821079825,0.0599397242044039,0,0,41691,0
138936951,2017-10-22,157.21,157.21,199,0.79,0,7436.367347,0,2017,43,0.389838626800316,0.562387553468672,0,0,33783,0
138936951,2016-07-03,195.96,181.76,284,0.69,0.05,11497.30612,0,2016,27,0.421738225446744,0.295358450996547,0,0,33914,4e+05
138936951,2017-10-15,188.81,188.81,239,0.79,0,7766.846939,0,2017,42,0.415989571075138,0.619553833987037,0,0,36119,0
138936951,2016-04-03,123.51,123.51,179,0.69,0,7178.938776,0,2016,14,0,0,0,0,34775,0
138936951,2017-10-29,176.96,176.96,224,0.79,0,7119.765306,1,2017,44,0.364733996817929,0.50538954855464,0,0,37586,0
138936951,2017-11-05,101.12,101.12,128,0.79,0,6883.785714,0,2017,45,0.34072524657174,0.450075721622806,0,0,35174,0
138936951,2016-06-12,166.98,166.98,242,0.69,0,10402.4898,0,2016,24,0.506194809912152,0.438977617910447,0,0,37552,0
138936951,2016-02-14,124.2,124.2,180,0.69,0,5686.591837,0,2016,7,0,0,0,0,23529,0
138936951,2017-04-23,169.06,147.66,214,0.79,0.1,7664.795918,1,2017,17,0.188959841134869,0.23753903227683,0,0,22127,0
138936951,2017-05-28,170.64,170.64,216,0.79,0,9105.581633,0,2017,22,0.38959129734176,0.275440493351475,0,0,24956,0
138936951,2016-08-21,174,174,232,0.75,0,10835.37755,0,2016,34,0.260153694582893,0.100377040098805,0,0,13910,0
138936951,2016-01-10,129.03,129.03,187,0.69,0,5335.27551,0,2016,2,0,0,0,0,29342,0
138936951,2017-03-05,128.25,128.25,171,0.75,0,6017.255102,0,2017,10,0.317472770935268,0.578923086000721,0,0,45288,1e+05
138936951,2017-02-19,156.75,156.75,209,0.75,0,5686.591837,0,2017,8,0.108827845291137,0.0340749813626564,0,0,29633,0
138936951,2017-03-12,120.75,120.75,161,0.75,0,6209.806122,0,2017,11,0.295755628496474,0.521706252383048,0,0,10114,2e+05
138936951,2016-08-07,183.54,156.94,266,0.69,0.1,11537.63265,1,2016,32,0.300681179555485,0.138600855210125,0,0,8184,0
138936951,2016-03-27,158.7,147.2,230,0.69,0.05,6872.387755,1,2016,13,0,0,0,0,4912,0
138936951,2016-01-17,125.58,125.58,182,0.69,0,5262.316327,0,2016,3,0,0,0,0,31367,0
138936951,2017-01-08,126.75,126.75,169,0.75,0,5435.05102,0,2017,2,0.175788123658412,0.0930775720641186,0,0,12826,0
138936951,2017-04-30,132.72,115.92,168,0.79,0.1,7919.316327,1,2017,18,0.174822041327609,0.204440715414292,0,0,28041,0
138936951,2017-12-17,146.94,146.94,186,0.79,0,6408.908163,1,2017,51,0.220511614527209,0.195653283517537,0,2e+05,25195,0
138936951,2016-04-10,138,138,200,0.69,0,7395.22449,0,2016,15,0,0,0,0,12244,0
138936951,2016-05-29,141.45,141.45,205,0.69,0,9522.030612,0,2016,22,0,0,0,0,28383,0
138936951,2017-03-19,188.25,188.25,251,0.75,0,6429.489796,0,2017,12,0.275186162057131,0.465771948217338,0,0,47634,4e+05
138936951,2017-04-02,157.21,157.21,199,0.79,0,6872.387755,0,2017,14,0.237447010192866,0.362441424029575,0,0,1183,1e+05
138936951,2017-12-31,12.64,11.04,16,0.79,0.1,5913.846939,1,2017,53,0.189203696278138,0.143225065301401,0,2e+05,45114,0
138936951,2015-12-27,7.59,6.49,11,0.69,0.1,5601.346939,1,2015,52,0,0,0,0,19444,0
